"GymName","Address","Activities","Rating","Cleaned_Address","Region","lat","long","Barre","Boxing","Cycling","Dance","Gym.Time","Martial.Arts","Pilates","Strength.Training","Stretching","Yoga","Nearest_Bus_Stop","Nearest_MRT_Station","Distance_from_MRT_km","Distance_from_busstop_km"
"Real Yoga","252 North Bridge Road #03-02, Singapore","Yoga, Stretching, …",4.7,"252 North Bridge Road, Singapore","Downtown Core",1.2938961,103.853342827512,0,0,0,0,0,0,0,0,1,1,"Raffles Hotel","City Hall MRT",0.133157083804975,0.106038942013023
"ALLY Singapore","ALLY Singapore, 8 Cross Street, 02-01/02 Manulife Tower, Singapore","Pilates, Cycling, …",4.9,"8 Cross Street, Singapore","Downtown Core",1.2824226,103.849056814941,0,0,1,0,0,0,1,0,0,0,"Telok Ayer Stn Exit A","Telok Ayer MRT",0.0899563610684293,0.0723976263471305
"Activ.Co","5 Tampines Central 1, Tampines Plaza 2, #06-02, Singapore","Pilates, Strength Training, …",4.9,"5 Tampines  1, Singapore","Tampines",1.3531169,103.943659,0,0,0,0,0,0,1,1,0,0,"Tampines Int","Tampines MRT",0.162523239308602,0.11214757958387
"CRNK","282 E Coast Road, Singapore","Cycling, Strength Training",4.9,"282 E Coast Road, Singapore","Marine Parade",1.3049823,103.9035503,0,0,1,0,0,0,0,1,0,0,"Opp Roxy Sq","Eunos MRT",1.6476431312043,0.0778642691951076
"Pilates Motiv","195a E Coast Rd, Singapore","Pilates",4.9,"195a E Coast Rd, Singapore","Marine Parade",1.3049823,103.9035503,0,0,0,0,0,0,1,0,0,0,"Opp Roxy Sq","Eunos MRT",1.6476431312043,0.0778642691951076
"Revolution","182 Cecil St, Fraser Towers #02-01, Singapore","Cycling, Strength Training",4.8,"182 Cecil St, Singapore","Downtown Core",1.2790159,103.8471016,0,0,1,0,0,0,0,1,0,0,"Opp GB Bldg","Tanjong Pagar MRT",0.309903621433985,0.0745433222986309
"Bhumi Lifestyle","30A Yishun Central 1, #01-05/06, Tzu Chi Humanistic Youth Centre, Singapore","Pilates, Yoga, …",4.8,"30A Yishun  1, Singapore","Yishun",1.42657315,103.838350891895,0,0,0,0,0,0,1,0,0,1,"Yishun Polyclinic","Yishun MRT",0.494788741799329,0.0722554946664214
"Revolution","8 Grange Rd, #03-08, Singapore","Cycling, Strength Training, …",4.8,"8 Grange Rd, Singapore","Orchard",1.3014468,103.836480651596,0,0,1,0,0,0,0,1,0,0,"Opp Mandarin Orchard","Somerset MRT",0.315584013910886,0.114653014684362
"Wunderbody Pilates","20 Kramat Lane, , #01-01, United House, Singapore","Pilates",4.8,"20 Kramat Lane, Singapore","Orchard",1.3007208,103.8430422,0,0,0,0,0,0,1,0,0,0,"Concorde Hotel S'pore","Dhoby Ghaut MRT",0.413209152326993,0.13076804084276
"MT30","1 Selegie Road, Singapore","Boxing, Martial Arts, …",5,"1 Selegie Road, Singapore","Rochor",1.299894,103.8492144,0,1,0,0,0,1,0,0,0,0,"Sch of the Arts","Bencoolen MRT",0.174671651820967,0.0763660459987391
"Sugar Boxing","8 Grange Road, #03-06, Singapore","Boxing",4.9,"8 Grange Road, Singapore","Orchard",1.3014468,103.836480651596,0,1,0,0,0,0,0,0,0,0,"Opp Mandarin Orchard","Somerset MRT",0.315584013910886,0.114653014684362
"Box Office Fitness","35 North Canal Road  #03-01, Singapore","Boxing, Strength Training",4.8,"35 North Canal Road, Singapore","Singapore River",1.28703265,103.847207710504,0,1,0,0,0,0,0,1,0,0,"Boat Quay","Clarke Quay MRT",0.166838898815475,0.128563040026033
"R10T","140 Robinson Road, Singapore","Yoga, Cycling, …",4.9,"140 Robinson Road, Singapore","Downtown Core",1.278388,103.8482941,0,0,1,0,0,0,0,0,0,1,"Aft Capital Twr","Tanjong Pagar MRT",0.341567632135848,0.0664548343787315
"Mudita Yoga","761a North Bridge Road, Singapore","Yoga, Stretching",4.9,"761a North Bridge Road, Singapore","Kallang",1.304197,103.86081,0,0,0,0,0,0,0,0,1,1,"Opp Textile Ctr","Lavender MRT",0.418023204692792,0.110059980778452
"The Garage","17 Lorong Kilat, #01-11, Singapore","Strength Training",4.9,"17 Lorong Kilat, Singapore","Bukit Timah",1.340895,103.7739649,0,0,0,0,0,0,0,1,0,0,"Opp Blk 19","Beauty World MRT",0.202998519328666,0.068230425856638
"Advantage Pilates","20 Malacca Street, Singapore","Pilates",4.9,"20 Malacca Street, Singapore","Downtown Core",1.28392175,103.850688622066,0,0,0,0,0,0,1,0,0,0,"Prudential Twr","Raffles Place MRT",0.0877499305111862,0.17140055742349
"Advantage Pilates Centre Pte Ltd.","1 Marine Parade, Singapore 449408","Pilates",4.9,"1 Marine Parade, Singapore","Marine Parade",1.30189995,103.906090960218,0,0,0,0,0,0,1,0,0,0,"Parkway Parade","Eunos MRT",2.01534741440288,0.12392168313688
"On Good Ground","458 Joo Chiat Road, Singapore","Yoga, Barre",4.9,"458 Joo Chiat Road, Singapore","Marine Parade",1.3062902,103.904540466292,1,0,0,0,0,0,0,0,0,1,"112 Katong","Eunos MRT",1.50798814168236,0.146086547568838
"AIBI Maxwell","30 Maxwell Road, Singapore","Strength Training, Cycling, …",4.9,"30 Maxwell Road, Singapore","Outram",1.2804921,103.8439467,0,0,1,0,0,0,0,1,0,0,"Opp Fairfield Meth Ch","Chinatown MRT",0.433746081946398,0.0827253933193642
"Revolution","520 North Bridge Rd, WISMA ALSAGOFF #03-01, Singapore","Cycling, Strength Training",4.8,"520 North Bridge Rd, Singapore","Kallang",1.304197,103.86081,0,0,1,0,0,0,0,1,0,0,"Opp Textile Ctr","Lavender MRT",0.418023204692792,0.110059980778452
"Activ.Co","Woodlands, Singapore","Pilates, Strength Training, …",4.9,"Woodlands, Singapore","Woodlands",1.43594395,103.787899467876,0,0,0,0,0,0,1,1,0,0,"Opp Blk 892C CP","Woodlands MRT",0.188507817723881,0.159854153185605
"Warrior Studios","37B Hong Kong Street, Singapore","Yoga, Pilates, …",4.8,"37B Hong Kong Street, Singapore","Singapore River",1.2879191,103.8466907,0,0,0,0,0,0,1,0,0,1,"Clarke Quay Stn Exit E","Clarke Quay MRT",0.0544288972276182,0.126906714989239
"Algorhythm","170 Upper Bukit Timah Road, Singapore","Cycling, Strength Training",4.9,"170 Upper Bukit Timah Road, Singapore","Bukit Timah",1.3432473,103.775982912115,0,0,1,0,0,0,0,1,0,0,"Beauty World Stn Exit B","Beauty World MRT",0.226451318686692,0.0850241363859889
"Lumi Cycle","988 Upper Serangoon Road, #01-43, Singapore","Cycling",4.8,"988 Upper Serangoon Road, Singapore","Toa Payoh",1.3376244,103.8706311,0,0,1,0,0,0,0,0,0,0,"Woodleigh Stn Exit B","Woodleigh MRT",0.176016200898208,0.0840664031811586
"Anarchy.club","61 Robinson Road #05-01, Singapore","Strength Training, Gym Time",4.8,"61 Robinson Road, Singapore","Downtown Core",1.2792862,103.849361008743,0,0,0,0,1,0,0,1,0,0,"OPP SO SOFITEL S'PORE","Telok Ayer MRT",0.355952012976087,0.0690362174039752
"STRONG Pilates","6A Shenton Wy, #02-01/02 OUE Downtown 2, Singapore","Pilates, Strength Training",4.8,"6A Shenton Wy, Singapore","Downtown Core",1.2765986,103.8481197,0,0,0,0,0,0,1,1,0,0,"Opp AXA Twr","Tanjong Pagar MRT",0.248973576270529,0.121081738028704
"Yoga With Peculiar Yogi","36B Arab St, Level 3 and 4, Singapore","Yoga, Stretching",4.9,"36B Arab St, Singapore","Rochor",1.3040288,103.8564544,0,0,0,0,0,0,0,0,1,1,"Queen St Ter","Jalan Besar MRT",0.190730095083836,0.0493454457813765
"Lab Studios","Lab Studios East Coast, 135/137 East Coast Road, #03-01 directly above Zaffron Kitchen, Singapore","Yoga, Pilates, …",4.8,"East Coast, Singapore","Kallang",1.2973773,103.8771657,0,0,0,0,0,0,1,0,0,1,"S'pore Swim Club","Stadium MRT",0.642099733884262,0.21315073196579
"Yoga Movement - Orchard Flagship","6 Handy Rd, #02-01, Singapore","Yoga, Strength Training, …",4.8,"6 Handy Rd, Singapore","Museum",1.3005491,103.8454701,0,0,0,0,0,0,0,1,0,1,"Dhoby Ghaut Stn","Dhoby Ghaut MRT",0.216778564338952,0.139873237329493
"Yoga Movement - Holland Village","3 Lorong Liput, Singapore","Yoga, Stretching, …",4.8,"3 Lorong Liput, Singapore","Bukit Timah",1.3107524,103.795202,0,0,0,0,0,0,0,0,1,1,"Holland V Stn Exit A","Holland Village MRT",0.163440156675161,0.0988246780327516
"Yoga Movement - East Coast","237 East Coast Road, Singapore","Yoga",4.8,"237 East Coast Road, Singapore","Marine Parade",1.30786315,103.907484654095,0,0,0,0,0,0,0,0,0,1,"Opp The Holy Family Ch","Eunos MRT",1.40818916253099,0.108220282945484
"ChimpChamp Fitness","6A Shenton Way, Downtown Gallery, Singapore","Strength Training, Martial Arts, …",4.9,"6A Shenton Way, Singapore","Downtown Core",1.2765986,103.8481197,0,0,0,0,0,1,0,1,0,0,"Opp AXA Twr","Tanjong Pagar MRT",0.248973576270529,0.121081738028704
"Jumping Singapore","14 Scotts Rd, #01-100, Far East Plaza, Singapore","Strength Training",4.8,"14 Scotts Rd, Singapore","Orchard",1.3071753,103.8338138,0,0,0,0,0,0,0,1,0,0,"Far East Plaza","Orchard MRT",0.395605213231857,0.0729885303931896
"STRONG Pilates","7 Holland Village Way, Singapore","Pilates, Strength Training",4.8,"7 Holland Village Way, Singapore","Queenstown",1.3111023,103.794156963561,0,0,0,0,0,0,1,1,0,0,"Holland Village","Holland Village MRT",0.236203744275577,0.128766705687897
"ChimpChamp Fitness","6 Raffles Blvd, Singapore","Strength Training, Martial Arts, …",4.9,"6 Raffles Blvd, Singapore","Downtown Core",1.2918103,103.8567423,0,0,0,0,0,1,0,1,0,0,"Opp War Memorial Pk","Esplanade MRT",0.214543401668413,0.15066054983102
"Line Pilates","442 Orchard Road, #03-03 Claymore Connect, Singapore","Pilates",4.8,"442 Orchard Road, Singapore","Orchard",1.3075324,103.8289836,0,0,0,0,0,0,1,0,0,0,"Delfi Orchard","Orchard MRT",0.535157010970705,0.0922059789122629
"WeBarre","5a Stanley St, Singapore","Barre, Strength Training",4.9,"5a Stanley St, Singapore","Downtown Core",1.2782093,103.8479086,1,0,0,0,0,0,0,1,0,0,"Aft Capital Twr","Tanjong Pagar MRT",0.294330372160567,0.0480366429905201
"CAVO","9 Yong Siak Street, Singapore","Strength Training",4.9,"9 Yong Siak Street, Singapore","Bukit Merah",1.28251755,103.830273807608,0,0,0,0,0,0,0,1,0,0,"Blk 126 CP","Tiong Bahru MRT",0.548357135938353,0.15204343353007
"STRONG Pilates","6 Handy Rd, #02-01, Singapore","Pilates, Strength Training",4.8,"6 Handy Rd, Singapore","Museum",1.3005491,103.8454701,0,0,0,0,0,0,1,1,0,0,"Dhoby Ghaut Stn","Dhoby Ghaut MRT",0.216778564338952,0.139873237329493
"Lab Studios","245A Holland Ave , Singapore","Barre, Pilates, …",4.8,"245A Holland Ave, Singapore","Bukit Timah",1.3117636,103.7960337,1,0,0,0,0,0,1,0,0,0,"Holland V Stn Exit A","Holland Village MRT",0.0227561627017147,0.0818742451454433
"J Platform","144 Robinson Road, #05-02Robinson Square, Singapore","Dance",4.9,"144 Robinson Road, Singapore","Downtown Core",1.2782635,103.848173226091,0,0,0,1,0,0,0,0,0,0,"Aft Capital Twr","Tanjong Pagar MRT",0.324297535864011,0.0499397646786605
"XYCO Studio","22 Martin Road, Singapore","Cycling",4.9,"22 Martin Road, Singapore","River Valley",1.2917408,103.8383251,0,0,1,0,0,0,0,0,0,0,"Aft Unity St","Fort Canning MRT",0.675903619435742,0.320030119169829
"The Flow Playground","12 A/B Sago Street, Singapore","Pilates, Stretching",4.8,"12  Sago Street, Singapore","Outram",1.28177935,103.8443991,0,0,0,0,0,0,1,0,1,0,"Maxwell Rd FC","Chinatown MRT",0.307009270165452,0.0816129253278197
"Ki Yoga","87A Serangoon Garden Way, Singapore","Yoga, Stretching, …",4.9,"87A Serangoon Garden Way, Singapore","Serangoon",1.3641186,103.8599764,0,0,0,0,0,0,0,0,1,1,"Opp Bloxhome Dr","Ang Mo Kio MRT",1.26249317135555,0.11554035121519
"SG Pilates","190 Clemenceau Ave, #05-03, Singapore","Pilates",4.7,"190 Clemenceau Ave, Singapore","Museum",1.2981147,103.844111198873,0,0,0,0,0,0,1,0,0,0,"Opp Haw Par Glass Twr","Dhoby Ghaut MRT",0.233572559127422,0.128359958139553
"Ascend Fitness","1 Orchard Road, Singapore","Pilates, Cycling, …",4.8,"1 Orchard Road, Singapore","Museum",1.29763465,103.848140069079,0,0,1,0,0,0,1,0,0,0,"YMCA","Dhoby Ghaut MRT",0.250767969754528,0.0620278330311273
"2 Be Yoga","2 BE YOGA, 127B Telok Ayer Street, Singapore","Yoga, Pilates, …",4.8,"127B Telok Ayer Street, Singapore","Outram",1.2798249,103.8472008,0,0,0,0,0,0,1,0,0,1,"Opp GB Bldg","Telok Ayer MRT",0.300552570379921,0.118525232557611
"SG Pilates","520 North Bridge Road, Singapore","Pilates",4.8,"520 North Bridge Road, Singapore","Kallang",1.304197,103.86081,0,0,0,0,0,0,1,0,0,0,"Opp Textile Ctr","Lavender MRT",0.418023204692792,0.110059980778452
"Lab Studios","232G Upper Thomson Rd, 232A, Singapore","Barre, Pilates, …",4.8,"232G Upper Thomson Rd, Singapore","Ang Mo Kio",1.371054,103.8285777,1,0,0,0,0,0,1,0,0,0,"Opp S'wang Hill FC","Mayflower MRT",0.922412477389042,0.154175448943787
"Division Athletics","78 Shenton Way#B1-01, Singapore","Strength Training",4.9,"78 Shenton Way, Singapore","Downtown Core",1.273047,103.844899252657,0,0,0,0,0,0,0,1,0,0,"Hub Synergy Pt","Tanjong Pagar MRT",0.401363009121274,0.103679558312854
