"Gym_Name","Regular_Adult_Fees","Offpeak_Adult_Fees","Per_Entry","Opening_Hours","Offpeak_Hours","Misc_Fees","Locations","Cleaned_Address","Region","lat","long","Barre","Boxing","Cycling","Dance","Gym.Time","Martial.Arts","Pilates","Strength.Training","Stretching","Yoga","Student_price","Adult_price","Senior_price","Nearest_MRT_Station","Nearest_Bus_Stop","Distance_from_MRT_km","Distance_from_busstop_km"
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Woodlands","Woodlands, Singapore","Woodlands",1.43594395,103.7878995,0,0,1,0,1,0,1,1,0,1,18,30,18,"Woodlands MRT","Opp Blk 892C CP",0.188507817723881,0.159854153185605
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Yio Chu Kang","Yio Chu Kang, Singapore","Ang Mo Kio",1.3817905,103.8449359,0,0,1,0,1,0,1,1,0,1,18,30,18,"Yio Chu Kang MRT","Yio Chu Kang Int",0.00647941299327631,0.103558011025927
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Yishun","Yishun, Singapore","Yishun",1.4293839,103.8350282,0,0,1,0,1,0,1,1,0,1,18,30,18,"Yishun MRT","Yishun Stn",0.00660077689328852,0.0220577854788998
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Kallang Basin","Kallang Basin, Singapore","Kallang",1.3001268,103.8720973,0,0,1,0,1,0,1,1,0,1,18,30,18,"Stadium MRT","Pebble Bay",0.471277533951735,0.342211973112934
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Toa Payoh","Toa Payoh, Singapore","Toa Payoh",1.3353906,103.8497414,0,0,1,0,1,0,1,1,0,1,18,30,18,"Toa Payoh MRT","Opp Blk 177",0.39291737381523,0.158031741245129
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Tiong Bahru, Singapore","Tiong Bahru, Singapore","Bukit Merah",1.28617925,103.8272252,0,0,1,0,1,0,1,1,0,1,18,30,18,"Tiong Bahru MRT","Tiong Bahru Plaza",0.0201595626921886,0.0373963984093244
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Jalan Besar","Jalan Besar, Singapore","Rochor",1.3052419,103.8552882,0,0,1,0,1,0,1,1,0,1,18,30,18,"Jalan Besar MRT","JLN BESAR STN EXIT A",0.0266811088442695,0.107411518223798
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Enabling Village","Enabling Village, Singapore","Bukit Merah",1.2871586,103.8141009,0,0,1,0,1,0,1,1,0,1,18,30,18,"Redhill MRT","Opp Blk 55",0.403745622777305,0.0143378093752849
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Toa Payoh West Community Centre","Toa Payoh West , Singapore","Toa Payoh",1.3353187,103.8424925,0,0,1,0,1,0,1,1,0,1,18,30,18,"Caldecott MRT","Philips S'pore",0.421922656880168,0.129950604153228
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Clementi","Clementi, Singapore","Clementi",1.3151003,103.7652311,0,0,1,0,1,0,1,1,0,1,18,30,18,"Clementi MRT","Clementi Stn",0.0195819300821531,0.0235631622553697
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Katong","Katong, Singapore","Marine Parade",1.3057886,103.8976313,0,0,1,0,1,0,1,1,0,1,18,30,18,"Dakota MRT","Bef Katong PO",1.03570478011021,0.187684569914863
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Pasir Ris","Pasir Ris, Singapore","Pasir Ris",1.3730307,103.949255,0,0,1,0,1,0,1,1,0,1,18,30,18,"Pasir Ris MRT","Pasir Ris Int",0.00634247376787006,0.0813901054396207
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Tampines","Tampines, Singapore","Tampines",1.3546528,103.9435712,0,0,1,0,1,0,1,1,0,1,18,30,18,"Tampines MRT","Tampines Int",0.228788988319209,0.0684019798254629
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Heartbeat @ Bedok","Heartbeat, Singapore","Bedok",1.3268695,103.9320742,0,0,1,0,1,0,1,1,0,1,18,30,18,"Bedok MRT","Bedok Ctrl PO",0.398571493450077,0.23931222757507
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","ActiveSG Hockey Village @ Boon Lay Gym"," Hockey Village, Singapore","Jurong West",1.3477783,103.7112244,0,0,1,0,1,0,1,1,0,1,18,30,18,"Lakeside MRT","Blk 185",1.15352667559079,0.0793585262023028
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Bukit Batok","Bukit Batok, Singapore","Bukit Batok",1.3490572,103.7495906,0,0,1,0,1,0,1,1,0,1,18,30,18,"Bukit Batok MRT","Bt Batok Int",0.00449163661139708,0.193100979972079
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Bukit Gombak","Bukit Gombak, Singapore","Bukit Batok",1.3588929,103.7518249,0,0,1,0,1,0,1,1,0,1,18,30,18,"Bukit Gombak MRT","Bt Gombak Stn",0.0179276716378949,0.0287964723415981
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Choa Chu Kang","Choa Chu Kang, Singapore","Choa Chu Kang",1.3853167,103.744325,0,0,1,0,1,0,1,1,0,1,18,30,18,"Choa Chu Kang MRT","Choa Chu Kang Int",0.00674660291388663,0.0326489273795382
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Senja-Cashew","Senja, Singapore","Bukit Panjang",1.3826778,103.7623822,0,0,1,0,1,0,1,1,0,1,18,30,18,"Senja Lrt","Blk 541A CP",0.00397939307204845,0.0921463530489166
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Jurong East","Jurong East, Singapore","Jurong East",1.333108,103.7422939,0,0,1,0,1,0,1,1,0,1,18,30,18,"Jurong East MRT","Jurong East Temp Int",0.00518789525207456,0.0910473127795684
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Jurong Lake Gardens","Jurong Lake Gardens, Singapore","Jurong East",1.3437351,103.7268748,0,0,1,0,1,0,1,1,0,1,18,30,18,"Chinese Garden MRT","Jurong Lake",0.652387451578512,0.0824627331518204
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Jurong West","Jurong West, Singapore","Jurong West",1.3434392,103.7058663,0,0,1,0,1,0,1,1,0,1,18,30,18,"Boon Lay MRT","Blk 683A",0.53853539083826,0.11203001140785
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Ang Mo Kio Community Centre","Ang Mo Kio , Singapore","Ang Mo Kio",1.369842,103.8466086,0,0,1,0,1,0,1,1,0,1,18,30,18,"Ang Mo Kio MRT","Blk 700B",0.374986875823845,0.0913085777740223
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Fernvale Square","Fernvale , Singapore","Sengkang",1.39194505,103.8762535,0,0,1,0,1,0,1,1,0,1,18,30,18,"Fernvale Lrt","Opp Fernvale Stn",0.00664976340931487,0.136379624902942
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Serangoon Central","Serangoon , Singapore","Serangoon",1.34976105,103.8736841,0,0,1,0,1,0,1,1,0,1,18,30,18,"Serangoon MRT","S'Goon Stn Exit A/Blk 413",0.0151316086730538,0.0857478188940458
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Bishan","Bishan, Singapore","Bishan",1.3509859,103.8482551,0,0,1,0,1,0,1,1,0,1,18,30,18,"Bishan MRT","BISHAN STN",0.0238613973619713,0.0372349948355843
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Hougang","Hougang, Singapore","Hougang",1.3733601,103.8860907,0,0,1,0,1,0,1,1,0,1,18,30,18,"Hougang MRT","Bef Blk 683",0.735869080937928,0.0563320559562386
"ActiveSG Gym","$25 - $30","$6.67 - $15","$2.50 (Adults)
$1.50 (Student/Senior Citizen)
$3.30 (Foreigners)","Mon to Sun
- 7am to 10pm","Mon to Fri only
- 7am to 4pm","-","Sengkang","Sengkang, Singapore","Sengkang",1.3909487,103.8951748,0,0,1,0,1,0,1,1,0,1,18,30,18,"Sengkang Lrt","Sengkang Int",0.078311700176722,0.119685790928325
"Sports Hub Gym","$65 - $80","-","Day Pass Rates:
$8 (Local resident)
$10 (Standard)
Individuals aged 55 and above, and individuals with special needs:
$6 (Local resident)
$8 (Standard)","7am to 10pm, daily","","Annual administration fee","Singapore Sports Hub","Singapore Sports Hub","Kallang",1.3032958,103.8753002,0,0,1,0,1,0,0,1,0,1,65,65,65,"Stadium MRT","Opp S'pore Indoor Stadium",0.0510001825913865,0.188163646618209
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","131 Bukit Merah","131 Bukit Merah, Singapore","Bukit Merah",1.28044745,103.8281665,0,0,1,0,1,0,0,1,0,1,69,69,69,"Tiong Bahru MRT","Blk 201",0.653039216420301,0.123957950244266
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","221 Jurong East St 21","221 Jurong East St 21, Singapore","Jurong East",1.3407916,103.7369572,0,0,1,0,1,0,0,1,0,1,69,69,69,"Chinese Garden MRT","Bef Yuhua CC",0.519925774956366,0.101160565649374
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","315 Serangoon Avenue 2","315 Serangoon Avenue 2, Singapore","Serangoon",1.35298295,103.8660181,0,0,1,0,1,0,0,1,0,1,69,69,69,"Lorong Chuan MRT","Cardiff Residence",0.256097810432556,0.188828111236022
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","431 Clementi Ave 3","431 Clementi Ave 3, Singapore","Clementi",1.3135158,103.7632041,0,0,1,0,1,0,0,1,0,1,69,69,69,"Clementi MRT","Clementi Int",0.283202921704839,0.186573176372029
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","462 Crawford Lane","462 Crawford Lane, Singapore","Kallang",1.3045344,103.8608683,0,0,1,0,1,0,0,1,0,1,69,69,69,"Lavender MRT","Blk 461",0.380597954962399,0.0839740485294431
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","515 Bedok North Ave 2","515 Bedok North Ave 2, Singapore","Bedok",1.33172165,103.9300043,0,0,1,0,1,0,0,1,0,1,69,69,69,"Bedok Reservoir MRT","Blk 515",0.598047515602646,0.0583025042586259
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","64 Boat Quay","64 Boat Quay, Singapore","Singapore River",1.2876453,103.8492854,0,0,1,0,1,0,0,1,0,1,69,69,69,"Clarke Quay MRT","Boat Quay",0.316413511695154,0.116166367751726
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","64 Boat Quay (Grit Pod)","64 Boat Quay, Singapore","Singapore River",1.2876453,103.8492854,0,0,1,0,1,0,0,1,0,1,69,69,69,"Clarke Quay MRT","Boat Quay",0.316413511695154,0.116166367751726
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","80 Bendemeer","80 Bendemeer, Singapore","Kallang",1.3170371,103.8633244,0,0,1,0,1,0,0,1,0,1,69,69,69,"Boon Keng MRT","Blk 7",0.318099073017711,0.150705052017557
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","83 Whampoa Drive","83 Whampoa Drive, Singapore","Novena",1.3235881,103.8570622,0,0,1,0,1,0,0,1,0,1,69,69,69,"Boon Keng MRT","Blk 82",0.691616983709503,0.0960732318971891
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","8 Lorong 7 Toa Payoh","8 Lorong 7 Toa Payoh, Singapore","Toa Payoh",1.3376641,103.8568719,0,0,1,0,1,0,0,1,0,1,69,69,69,"Braddell MRT","Blk 17A",1.16689636996511,0.152944160980098
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Admiralty Park","Admiralty Park, Singapore","Woodlands",1.4464633,103.7805267,0,0,1,0,1,0,0,1,0,1,69,69,69,"Woodlands North MRT","Aft Riverside Rd",0.612702313726933,0.36195210583368
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Alexandra TechnoPark","Alexandra TechnoPark, Singapore","Queenstown",1.2770169,103.799798,0,0,1,0,1,0,0,1,0,1,69,69,69,"Labrador Park MRT","Alexandra Pt",0.627694954467,0.299129518151626
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Bishan-Ang Mo Kio Park","Bishan, Singapore","Bishan",1.3509859,103.8482551,0,0,1,0,1,0,0,1,0,1,69,69,69,"Bishan MRT","BISHAN STN",0.0238613973619713,0.0372349948355843
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Buangkok Square Mall","Buangkok  Mall, Singapore","Hougang",1.3842797,103.8815634,0,0,1,0,1,0,0,1,0,1,69,69,69,"Tongkang Lrt","BLK 998B",0.735773875697336,0.103232895049049
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Buangkok Square Mall (The Rumble Pod)","Buangkok  Mall, Singapore","Hougang",1.3842797,103.8815634,0,0,1,0,1,0,0,1,0,1,69,69,69,"Tongkang Lrt","BLK 998B",0.735773875697336,0.103232895049049
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Bukit Gombak Park","Bukit Gombak Park, Singapore","Bukit Batok",1.367269,103.7524413,0,0,1,0,1,0,0,1,0,1,69,69,69,"Bukit Gombak MRT","Opp Bt Batok Driving Ctr",0.948686831989024,0.245428410663149
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Bukit Timah Shopping Centre","Bukit Timah Shopping Centre, Singapore","Bukit Timah",1.3432265,103.775786,0,0,1,0,1,0,0,1,0,1,69,69,69,"Beauty World MRT","Beauty World Stn Exit B",0.223065606081514,0.0669493642641432
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Changi Airport Terminal 2","Changi Airport Terminal 2, Singapore","Changi",1.3558023,103.9885414,0,0,1,0,1,0,0,1,0,1,69,69,69,"Changi Airport MRT","Changi Airport PTB2",0.169048110024291,0.112444058506323
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Changi Airport Terminal 2 (The Flow Pod)","Changi Airport Terminal 2, Singapore","Changi",1.3558023,103.9885414,0,0,1,0,1,0,0,1,0,1,69,69,69,"Changi Airport MRT","Changi Airport PTB2",0.169048110024291,0.112444058506323
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Changi City Point","Changi  Point, Singapore","Tampines",1.334113,103.9627137,0,0,1,0,1,0,0,1,0,1,69,69,69,"Expo MRT","EXPO STN EXIT E",0.137093651635812,0.106022874224593
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Dhoby Ghaut MRT (Unleashed)","Dhoby Ghaut , Singapore","Museum",1.29962185,103.8454469,0,0,1,0,1,0,0,1,0,1,69,69,69,"Dhoby Ghaut MRT","Dhoby Ghaut Stn",0.129765278131466,0.036787392158038
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","East Coast Park","East Coast Park, Singapore","Tampines",1.31561545,103.967376,0,0,1,0,1,0,0,1,0,1,69,69,69,"Expo MRT","LAGUNA NATL COUNTRY CLUB",2.20612352674406,1.32031697612917
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","EBC Lifestyle Hub","EBC Lifestyle Hub, Singapore","Ang Mo Kio",1.3837071,103.8282343,0,0,1,0,1,0,0,1,0,1,69,69,69,"Lentor MRT","Bef Tagore Rd",0.932564904421219,0.265579531227773
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","EON Shenton The Gym Pod – Container Gyms in Singapore","EON Shenton, Singapore","Downtown Core",1.27385395,103.8462223,0,0,1,0,1,0,0,1,0,1,69,69,69,"Tanjong Pagar MRT","Opp MAS Bldg",0.299258823222157,0.078698997366667
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Grandlink Square","Grandlink , Singapore","Geylang",1.314292,103.8921887,0,0,1,0,1,0,0,1,0,1,69,69,69,"Paya Lebar MRT","Opp Grandlink Sq",0.435895760767348,0.00336630920035048
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Holland Village Park","Holland Village Park, Singapore","Bukit Timah",1.31156665,103.7957062,0,0,1,0,1,0,0,1,0,1,69,69,69,"Holland Village MRT","Holland V Stn Exit A",0.0623265546186655,0.0709701409410277
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","Icon IBP","Icon IBP, Singapore","Jurong East",1.3275622,103.7492027,0,0,1,0,1,0,0,1,0,1,69,69,69,"Jurong East MRT","Bef The Synergy",0.989586703135976,0.205453902641546
"The Gym Pod","$12.90 (first 6 sessions, $7.50 per session)
$69 (first 10 sessions free)","-","$7.50 (Off-Peak)
$9.50 (Peak)","24-hour access","Mon to Sun
- 12am to 7am","-","JTC LaunchPad","JTC LaunchPad, Singapore","Western Water Catchment",1.35428385,103.6924146,0,0,1,0,1,0,0,1,0,1,69,69,69,"Pioneer MRT","Bef Lor Danau",1.93773204369192,0.211801284660726
